"","code_station","libelle_station","code_departement","libelle_departement","code_commune","libelle_commune","code_region","libelle_region","code_bassin","libelle_bassin","code_cours_eau","libelle_cours_eau","code_campagne","code_reseau","libelle_reseau","code_ecoulement","libelle_ecoulement","longitude","latitude","date_campagne","nombre_modalite_ecoulement","code_type_campagne","libelle_type_campagne","uri_reseau","etat_station","Annee"
"72","J0014011","Les Chevaux Morts","35","Ille-et-Vilaine","35142","LANDEAN","53","Bretagne","04","Loire-Bretagne","J0014000","le Nançon","71969","0000000134","Onde OFB","1a","Ecoulement visible acceptable",-1.172377777,48.441498509,2017-05-24,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2017
"73","J0014011","Les Chevaux Morts","35","Ille-et-Vilaine","35142","LANDEAN","53","Bretagne","04","Loire-Bretagne","J0014000","le Nançon","69857","0000000134","Onde OFB","1a","Ecoulement visible acceptable",-1.172377777,48.441498509,2016-10-20,5,2,"complémentaire","http://id.eaufrance.fr/dc/0000000134","Active",2016
"74","J0014011","Les Chevaux Morts","35","Ille-et-Vilaine","35142","LANDEAN","53","Bretagne","04","Loire-Bretagne","J0014000","le Nançon","69551","0000000134","Onde OFB","1a","Ecoulement visible acceptable",-1.172377777,48.441498509,2016-10-11,5,2,"complémentaire","http://id.eaufrance.fr/dc/0000000134","Active",2016
"75","J0014011","Les Chevaux Morts","35","Ille-et-Vilaine","35142","LANDEAN","53","Bretagne","04","Loire-Bretagne","J0014000","le Nançon","69100","0000000134","Onde OFB","1a","Ecoulement visible acceptable",-1.172377777,48.441498509,2016-09-23,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2016
"76","J0014011","Les Chevaux Morts","35","Ille-et-Vilaine","35142","LANDEAN","53","Bretagne","04","Loire-Bretagne","J0014000","le Nançon","68600","0000000134","Onde OFB","1a","Ecoulement visible acceptable",-1.172377777,48.441498509,2016-09-15,5,2,"complémentaire","http://id.eaufrance.fr/dc/0000000134","Active",2016
"77","J0014011","Les Chevaux Morts","35","Ille-et-Vilaine","35142","LANDEAN","53","Bretagne","04","Loire-Bretagne","J0014000","le Nançon","68309","0000000134","Onde OFB","1a","Ecoulement visible acceptable",-1.172377777,48.441498509,2016-08-23,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2016
"78","J0014011","Les Chevaux Morts","35","Ille-et-Vilaine","35142","LANDEAN","53","Bretagne","04","Loire-Bretagne","J0014000","le Nançon","68176","0000000134","Onde OFB","1a","Ecoulement visible acceptable",-1.172377777,48.441498509,2016-07-25,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2016
"79","J0014011","Les Chevaux Morts","35","Ille-et-Vilaine","35142","LANDEAN","53","Bretagne","04","Loire-Bretagne","J0014000","le Nançon","68071","0000000134","Onde OFB","1a","Ecoulement visible acceptable",-1.172377777,48.441498509,2016-06-24,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2016
"80","J0014011","Les Chevaux Morts","35","Ille-et-Vilaine","35142","LANDEAN","53","Bretagne","04","Loire-Bretagne","J0014000","le Nançon","67882","0000000134","Onde OFB","1a","Ecoulement visible acceptable",-1.172377777,48.441498509,2016-05-26,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2016
"81","J0014011","Les Chevaux Morts","35","Ille-et-Vilaine","35142","LANDEAN","53","Bretagne","04","Loire-Bretagne","J0014000","le Nançon","67473","0000000134","Onde OFB","1a","Ecoulement visible acceptable",-1.172377777,48.441498509,2015-09-23,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2015
